# This file contains an export of tag data from an installation of
# Metadata Games, a metadata tagging system from Tiltfactor Laboratory.
# For more information, see http://tiltfactor.org/mg/
#
# This Export:
# ------------
# Version: metadatagames_0.1
# Format: 1.0
# Date: Wed, 09 Jan 2013 17:39:01 -0500
# System: some.university.edu/mg/  (TODO: Source the correct value here)
#
Image Name	Tags
nci-vol-2598-150.jpg	martini, olives, pimento, pimiento, shadow, stuffed, white background
nci-vol-2615-150.jpg	antique, butter, butter knife, scratched, silver
Box15Tray01_006_1.jpg	a man hiking in the mountains, altitude, backpack, backpacker, boy, cloud, clouds, elevation, geology, hiker, hiking, hill, jeans, male, mountain, mountain hiker, mountain hiking, plaid, plaid shirt, researcher, rocks, trees, volcano
ms-1040_0115.jpg	bell tower, brick, brick building, christian, church, church bell, church with belltower, cloudy, desert, field, grave, hill, holy place, mexico, mound, old church, outdoors, rock, rocks, rugged, sepia, stone, stone building with a bell and a look out tower on the side, stone cathedral, stone church
ms-1040_0117.jpg	Alaska, big skirts, costume, damaged, deterioration, french, girls, girls dresses, hats, lettering, Old picture, sign, traditional, traditional attire, traditional costumes, women, women's traditional costumes
nci-vol-2648-150.jpg	cantaloupe, fruit, fruit slice, juicy, melon, orange, ripe, slice, white background
nci-vol-2669-150.jpg	bread and sausage, bun, food, grilled, hot dog, hotdog, mustard, plastic sausage, ready, spicy hot dog, stock photo, weiner, white background
Box15Tray01_008_1.jpg	archaeology, bomb, equipment, field testing, foo, geologist, geology, glasses, instrument, measure, meter, mining, probe, research, rocks, scientist, sunny, volcano, wires
ms-1040_0119.jpg	ancient buildings, antique photography, carriage, cart, castle, church steeples in Europe, horse and carriage, old world, path, road, shadows, spire, steeple, steeples, stone path, tower, trail, trees, wagon, wall
ms-1040_0114.jpg	countryside, french, old dark crackled, prehistoric site, rocks, rough edges, sepia, standing stones
ms-1040_0112.jpg	country, crops, daguerreotype, farming, farmland, farms, farmstead, field, fields, haystacks, landscape, pastoral, pastoral scene, photograph, rural landscape, sepia
ms-1040_0111.jpg	abandoned, brick structure, christian, christian worship, christianity, clouds, cross, daguerreotype, field, grotto, hill, idol, jesus, photograph, pilgrimage, rock, saint, shrine, shrub, statue, steps, stone
Box15Tray01_005_1.jpg	field, garden, geologists, hammer, hoe, investigating, looking at ground, mallet, sledgehammer, tool, topiary, two men, using hoe
ms-1040_0116.jpg	cathedral, child, church, church in Europe, college, courtyard, european town, france, ohm la la la, old buildings, path, person, steeple, stone, village, villager
ms-1040_0118.jpg	an old city block with a tower in the distance, church, cobblestone, dog, dramatic, Europe, european town, horse, houses, man and dog, narrow, rider, road, scary, sepia, silhouette, spire, steeple, stone, street, village street and church in Europe
ms-1040_0113.jpg	castle, cathedral, church, churchyard, cross, Europe, large stone building with fancy windows and steeples, path, sepia, stained glass, steeples, stone, the church
ms-1040_0120.jpg	barrels, bell tower, boys, brick road, carriage, cart, church, clock, dogs, Europe, horses, old-fashioned, people, sepia, stone, street, three boys, town, village, wagons, wheels
nci-vol-2652-150.jpg	beef, bun, cheese, cheeseburger, fast food, hamburger, lettuce, mcdonalds, meat, sandwich, seeds, sesame seed bun, sweaty cheese, white background
nci-vol-2641-150.jpg	advertising, bell, bell pepper, blank, crisp, dew, drops, food, fresh, fruit, green stem, is on salads, pepper, red, red pepper, ribbed, ridges, ripe, round, seeds, shapely, skin, speghetti, stem, stock photo, sweet, vegetable, water, wet, you eat it
nci-vol-2634-150.jpg	acidic, alive, background, Canadian groundfruit, catty-corner, crooked, del monte, DOC trips, dole, drop, dropped, falling, food, fruit, fruit spiky, geometric, green, leafy, leaves, minimal, pineapple, plant, shift, spiky, spines, spiny, stock photo, tart, tilt, tilted vegetative photographic rendering, tipping, tropical, white, white background, yellow
nci-vol-2612-150.jpg	bean pod, beautiful, eight peas, food, fresh, green, intact, Mendel, peapod, peas, peas in a pod, plant, pod, round, shucked, snuggled, stock photo, together touching globes of life, vegetable, wet
nci-vol-2690-150.jpg	chocolate, frozen, ice cream, ice cream bar, ice cream sandwich, vanilla, white background
nci-vol-2683-150.jpg	donut, doughnut, glazed, honey, shiny, sugar, top view
nci-vol-2686-150.jpg	bacon, beer, crispy, deep fried, fat, food, fried breakfast meat, greasy, gross, oily, pig, red, shriveled, tasty, wrinkled, yellow
nci-vol-2693-150.jpg	banana, breakfast, bruises, canoe shaped, cereal, fruit, grows in bunches, had some for lunch, healthy fruit, like a plantain, longish, orange juice, organic, peel, penis, potassium, scars, sex ed, stem, yellow
nci-vol-2656-150.jpg	bunch, fruit, grapes, green, oenophile, organic, small round green balls, stem, tasty, vines, wine, yellow
nci-vol-2692-150.jpg	cracker, crackers, holes, pair, ridges, ritz, snack, white
nci-vol-2688-150.jpg	baked, baked good, chocolate, chocolate chip, cookie, delicious, dessert, snack, sweet
Box15Tray01_009_1.jpg	archaeological site, archaeologist, bone, boulders, dirt, explorer, geologist, hard hat, hat, jeans, mining, rocks, soil, spelunker, worker
Box15Tray01_011_1.jpg	buildings, dark room, darknature dark, dartmouth, fireplaces, hopkins center, indoors, interior, modern, sculpture, snapshots, women
Box15Tray01_010_1.jpg	crevices, flora, geological layers, green, plant, plants growing out of rock, rock, rocks, striations, water
Box15Tray01_007_1.jpg	africa, backpack, camping, dark, forest, forest hikers, hikers, hiking, landscape, marching, military, moss, mountains, mud, nature, path, photo, scientists, trees, tropical, vines, walking stick, wilderness
nci-vol-2674-150.jpg	allergy, baseball game snack, brown, can crack it, food, nut, nuts, pair, peanut, peanuts, shell, shells, stock photo, unshelled, you make butter out of this
